company_id,company
1,5 Star Taxi
2,Sun Taxi
3,Taxicab Insurance Agency Llc
4,Choice Taxi Association Inc
5,Flash Cab
6,Tac - Yellow Cab Association
7,City Service
8,Taxi Affiliation Services
9,Medallion Leasin
10,Chicago Independents
11,Choice Taxi Association
12,Blue Ribbon Taxi Association
13,Chicago City Taxi Association
14,Petani Cab Corp
15,"Taxicab Insurance Agency, LLC"
16,Globe Taxi
17,Patriot Taxi Dba Peace Taxi Associat
18,Setare Inc
19,Tac - American United Dispatch
20,U Taxicab
21,Top Cab
22,Chicago Taxicab
23,312 Medallion Management Corp
24,Koam Taxi Association
25,3591 - 63480 Chuks Cab
26,2733 - 74600 Benny Jona
27,Tac - Blue Diamond Dispatch
28,Tac - Checker Cab Dispatch
29,5167 - 71969 5167 Taxi Inc
