datetime,temperature,wind_speed,rain,precipitation
2024-05-28 00:00:00,20.3,17.1,0.0,0.0
2024-05-28 01:00:00,17.0,4.6,0.0,0.0
2024-05-28 02:00:00,16.4,9.5,0.0,0.0
2024-05-28 03:00:00,15.6,2.8,0.0,0.0
2024-05-28 04:00:00,14.6,7.4,0.0,0.0
2024-05-28 05:00:00,13.9,8.6,0.0,0.0
2024-05-28 06:00:00,13.7,10.3,0.0,0.0
2024-05-28 07:00:00,13.5,12.1,0.0,0.0
2024-05-28 08:00:00,13.3,15.2,0.0,0.0
2024-05-28 09:00:00,12.9,12.3,0.0,0.0
2024-05-28 10:00:00,12.2,8.2,0.0,0.0
2024-05-28 11:00:00,12.5,8.8,0.0,0.0
2024-05-28 12:00:00,13.5,12.3,0.0,0.0
2024-05-28 13:00:00,15.3,9.4,0.0,0.0
2024-05-28 14:00:00,17.0,8.4,0.0,0.0
2024-05-28 15:00:00,18.1,7.1,0.0,0.0
2024-05-28 16:00:00,19.1,5.5,0.1,0.1
2024-05-28 17:00:00,19.7,5.5,0.1,0.1
2024-05-28 18:00:00,19.6,5.4,0.2,0.2
2024-05-28 19:00:00,18.5,5.9,2.8,2.8
2024-05-28 20:00:00,19.7,10.7,0.1,0.1
2024-05-28 21:00:00,19.0,15.7,2.7,2.7
2024-05-28 22:00:00,17.7,20.5,0.7,0.7
2024-05-28 23:00:00,16.6,18.8,0.1,0.1
